,ticketid,subject,description,status_idup,priority_idup,user_id,created_at,Category,application_name,assigned_to,Resolution_notes,Resolution_code,resolved_date,resolution_notes_ITSM,resolved_by
331,332.0,sap crashing,sap crashing ,1,2,1,27-10-2022 14:15,Crash,SAP,raghav_it,,40.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
332,333.0,Not able to access ERP,Not able to access ERP,1,2,1,28-10-2022 03:00,Access,ERP,raghav_it,,41.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
336,337.0,windows updated some features not working,Windows update done and now some features are not working,5,2,6,25-10-2022 12:45,Configuration,Windows,raghav_it,,45.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
338,339.0,erp crash,erp crash,5,2,1,27-10-2022 14:15,Crash,ERP,raghav_it,,47.0,07-12-2022 01:40,,
339,340.0,outlook crashing,outlook crashing,3,2,6,28-10-2022 03:00,Crash,Outlook,raghav_it,,48.0,07-12-2022 22:48,Check the server connection.,raghav_it
344,345.0,login issue,Unable to login as it shows incorrect login details,2,2,5,26-10-2022 01:30,Login,ERP,arjun,Check your username and password input. Check if caps is on.,5.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
347,348.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,29-10-2022 15:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
348,349.0,skype error ,skype crashing,2,2,2,30-10-2022 04:30,Crash,Skype,raghav_it,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
351,352.0,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,2,6,26-10-2022 01:30,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",12.0,07-12-2022 17:09,Restart the server,aditya
353,354.0,Want to reset the password for outlook,hi I want to reset my outlook password.,4,2,4,28-10-2022 03:00,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
354,355.0,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,2,5,29-10-2022 15:45,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,15.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
355,356.0,sap crashing,sap crashing ,1,2,1,30-10-2022 04:30,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,16.0,15-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
356,357.0,Not able to access ERP,Not able to access ERP,1,2,1,24-10-2022 00:00,Access,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,17.0,16-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
360,361.0,windows updated some features not working,Windows update done and now some features are not working,5,2,6,07-11-2022 16:36,Configuration,Windows,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,21.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
362,363.0,erp crash,erp crash,5,2,1,11-11-2022 20:30,Crash,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,23.0,07-12-2022 01:40,,
363,364.0,outlook crashing,outlook crashing,3,2,6,13-11-2022 20:30,Crash,Outlook,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,24.0,07-12-2022 22:48,Check the server connection.,raghav_it
368,369.0,login issue,Unable to login as it shows incorrect login details,2,2,5,23-11-2022 20:30,Login,ERP,arjun,Check your username and password input. Check if caps is on.,29.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
375,376.0,login issue,Unable to login as it shows incorrect login details,2,2,5,18-11-2022 14:15,Login,ERP,arjun,Check your username and password input. Check if caps is on.,29.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
378,379.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,21-11-2022 15:00,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
379,380.0,skype error ,skype crashing,2,2,2,24-11-2022 15:00,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
382,383.0,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,2,6,25-11-2022 20:30,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",36.0,07-12-2022 17:09,Restart the server,aditya
384,385.0,Want to reset the password for outlook,hi I want to reset my outlook password.,4,2,4,11-11-2022 19:09,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",38.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
385,386.0,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,2,5,12-11-2022 19:09,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,39.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
386,387.0,sap crashing,sap crashing ,1,2,1,13-11-2022 19:09,Crash,SAP,raghav_it,,40.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
387,388.0,Not able to access ERP,Not able to access ERP,1,2,1,14-11-2022 19:09,Access,ERP,raghav_it,,41.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
391,392.0,windows updated some features not working,Windows update done and now some features are not working,5,2,6,21-11-2022 15:00,Configuration,Windows,raghav_it,,45.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
393,394.0,erp crash,erp crash,5,2,1,21-11-2022 20:30,Crash,ERP,raghav_it,,47.0,07-12-2022 01:40,,
394,395.0,outlook crashing,outlook crashing,3,2,6,23-11-2022 20:30,Crash,Outlook,raghav_it,,48.0,07-12-2022 22:48,Check the server connection.,raghav_it
399,400.0,login issue,Unable to login as it shows incorrect login details,2,2,5,13-11-2022 19:09,Login,ERP,arjun,Check your username and password input. Check if caps is on.,5.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
402,403.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,19-11-2022 15:00,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
403,404.0,skype error ,skype crashing,2,2,2,20-11-2022 15:00,Crash,Skype,raghav_it,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
406,407.0,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,2,6,21-11-2022 20:30,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",12.0,07-12-2022 17:09,Restart the server,aditya
408,409.0,Want to reset the password for outlook,hi I want to reset my outlook password.,4,2,4,25-11-2022 20:30,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
409,410.0,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,2,5,27-11-2022 20:30,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,15.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
410,411.0,sap crashing,sap crashing ,1,2,1,11-11-2022 19:09,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,16.0,15-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
411,412.0,Not able to access ERP,Not able to access ERP,1,2,1,12-11-2022 19:09,Access,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,17.0,16-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
415,416.0,windows updated some features not working,Windows update done and now some features are not working,5,2,6,19-11-2022 15:00,Configuration,Windows,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,21.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
417,418.0,erp crash,erp crash,5,2,1,21-11-2022 15:00,Crash,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,23.0,07-12-2022 01:40,,
418,419.0,outlook crashing,outlook crashing,3,2,6,24-11-2022 15:00,Crash,Outlook,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,24.0,07-12-2022 22:48,Check the server connection.,raghav_it
423,424.0,login issue,Unable to login as it shows incorrect login details,2,2,5,29-11-2022 19:09,Login,ERP,arjun,Check your username and password input. Check if caps is on.,29.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
426,427.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,02-12-2022 01:30,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
427,428.0,skype error ,skype crashing,2,2,2,03-12-2022 14:15,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
430,431.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,06-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
431,432.0,skype error ,skype crashing,2,2,2,07-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
432,433.0,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,2,4,08-12-2022 12:45,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
433,434.0,cant log in to vpn,cant log in to vpn,2,2,7,09-12-2022 12:45,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
434,435.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,10-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
435,436.0,skype error ,skype crashing,2,2,2,11-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
436,437.0,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,2,4,12-12-2022 12:45,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
437,438.0,cant log in to vpn,cant log in to vpn,2,2,7,13-12-2022 12:45,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
438,439.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,14-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
439,440.0,skype error ,skype crashing,2,2,2,15-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
440,441.0,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,2,4,16-12-2022 12:45,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
441,442.0,cant log in to vpn,cant log in to vpn,2,2,7,01-12-2022 12:45,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
442,443.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,02-12-2022 01:30,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
443,444.0,skype error ,skype crashing,2,2,2,03-12-2022 14:15,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
446,447.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,06-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
447,448.0,skype error ,skype crashing,2,2,2,07-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
450,451.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,09-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
451,452.0,skype error ,skype crashing,2,2,2,10-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
454,455.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,05-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
455,456.0,skype error ,skype crashing,2,2,2,04-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
458,459.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,05-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
459,460.0,skype error ,skype crashing,2,2,2,06-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
462,463.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,04-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
463,464.0,skype error ,skype crashing,2,2,2,04-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
466,467.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,04-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
467,468.0,skype error ,skype crashing,2,2,2,02-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
470,471.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,04-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
471,472.0,skype error ,skype crashing,2,2,2,05-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
474,475.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,01-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
475,476.0,skype error ,skype crashing,2,2,2,02-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
478,479.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,04-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
479,480.0,skype error ,skype crashing,2,2,2,05-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
482,483.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,06-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
483,484.0,skype error ,skype crashing,2,2,2,06-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
486,487.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,02-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
487,488.0,skype error ,skype crashing,2,2,2,03-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
490,491.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,02-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
491,492.0,skype error ,skype crashing,2,2,2,02-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
494,495.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,03-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
495,496.0,skype error ,skype crashing,2,2,2,02-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
498,499.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,04-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
499,500.0,skype error ,skype crashing,2,2,2,05-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
502,503.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,07-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,32.0,07-12-2022 17:04,Server need to be restarted,raghav_it
503,504.0,skype error ,skype crashing,2,2,2,07-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,33.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
509,510.0,login issue,Unable to login as it shows incorrect login details,2,2,5,14-10-2022 14:15,Login,ERP,arjun,Check your username and password input. Check if caps is on.,5.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
512,513.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,14-10-2022 16:15,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
513,514.0,skype error ,skype crashing,2,2,2,14-10-2022 20:15,Crash,Skype,,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
516,517.0,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,2,6,14-10-2022 20:30,Report,Engineering_tool,,"Try turning off the Wi-Fi on your device, then re-enabling it.",12.0,07-12-2022 17:09,Restart the server,aditya
518,519.0,Want to reset the password for outlook,hi I want to reset my outlook password.,4,2,4,14-10-2022 20:40,Login,Outlook,,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
519,520.0,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,2,5,14-10-2022 20:40,Finance,SAP,,Try installing the latest version as previous version had some problems with pdf version.,15.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
520,521.0,sap crashing,sap crashing ,1,2,1,11-11-2022 19:09,Crash,SAP,,,,,,
521,522.0,Not able to access ERP,Not able to access ERP,1,2,1,12-11-2022 13:23,Access,ERP,,,,,,
525,526.0,windows updated some features not working,Windows update done and now some features are not working,5,2,6,28-11-2022 16:23,Configuration,Windows,,,,07-12-2022 18:56,Windows version degraded to a lower version,aditya
527,528.0,erp crash,erp crash,5,2,1,07-12-2022 01:32,Crash,ERP,raghav_it,,,07-12-2022 01:40,,
528,529.0,outlook crashing,outlook crashing,3,2,6,07-12-2022 22:24,Crash,Outlook,raghav_it,,,07-12-2022 22:48,Check the server connection.,raghav_it
529,530.0,reset password,I forgot my sap account password.Want to reset it.,3,2,1,12-12-2022 11:15,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,1.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
530,531.0,reset password,I forgot my sap account password.Want to reset it.,3,2,1,12-11-2022 11:15,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,1.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
531,532.0,visual studio code,visual studio code licence expired,3,2,2,13-12-2022 00:00,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,2.0,07-12-2022 00:55,Renew license,
532,533.0,visual studio code,visual studio code licence expired,3,2,2,05-12-2022 00:00,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,2.0,07-12-2022 00:55,Renew license,
533,534.0,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,2,3,05-12-2022 12:45,Access,Powerpoint,raghav_it,Check recycle bin.,3.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
534,535.0,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,2,3,06-12-2022 01:30,Access,Powerpoint,raghav_it,Check recycle bin.,3.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
535,536.0,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,2,4,06-12-2019 14:15,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",4.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
536,537.0,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,2,4,05-12-2022 00:00,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",4.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
537,538.0,login issue,Unable to login as it shows incorrect login details,2,2,5,05-12-2022 12:45,Login,ERP,arjun,Check your username and password input. Check if caps is on.,5.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
538,539.0,login issue,Unable to login as it shows incorrect login details,2,2,5,06-12-2022 01:30,Login,ERP,arjun,Check your username and password input. Check if caps is on.,5.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
539,540.0,outlook,outlook frozen,3,2,6,06-12-2019 14:15,Crash,Outlook,shubhangi,Restart your outlook,6.0,07-12-2022 22:25,Check the server connection.,aditya
540,541.0,outlook,outlook frozen,3,2,6,05-12-2022 00:00,Crash,Outlook,shubhangi,Restart your outlook,6.0,07-12-2022 22:25,Check the server connection.,aditya
541,542.0,cant log in to vpn,cant log in to vpn,2,2,7,05-12-2022 12:45,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,7.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
542,543.0,cant log in to vpn,cant log in to vpn,2,2,7,06-12-2022 01:30,Login,VPN,,check your network settings.Check if you are connected to internet.,7.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
543,544.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,06-12-2019 14:15,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
544,545.0,unable to access hr_tool page,unable to access hr_tool page,3,2,1,05-12-2022 00:00,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
545,546.0,skype error ,skype crashing,2,2,2,05-12-2022 12:45,Crash,Skype,raghav_it,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
546,547.0,skype error ,skype crashing,2,2,2,06-12-2022 01:30,Crash,Skype,,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
547,548.0,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,2,4,06-12-2019 14:15,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,10.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
